Completed,UID,Type,Assigning Time,Time,HapticLevel,Quantity,PathType,IsClassTask,ClassID,Duplicates,,
Completed,UID,Type,Assigning Time,Time,HapticLevel,Diificulty,Seed,ShowSol,IsClassTask,ClassID,Duplicates,
Completed,UID,Type,Assigning Time,Time,HapticLevel,letterName,letterLanguage,letterType,ShowSolution,IsClassTask,ClassID,Duplicates
Completed,UID,Type,Assigning Time,Time,HapticLevel,Word,IsClassTask,ClassID,Duplicates,,,
True,75060c7d-d665-4d2e-86d8-a46fd9ccddf7,Letter Task,7/1/2022 12:44:05 PM,90,0,ThumbsUp,Custom,All,True,False,,
True,86d0915d-07ba-47d1-bc02-2e60fbe2a07d,Letter Task,7/1/2022 12:54:56 PM,0,0,ThumbsUp,Custom,All,True,True,,
False,f1ce2696-7fe1-4762-b76e-2a1270551ccb,Letter Task,7/1/2022 12:54:56 PM,0,0,ThumbsUp,Custom,All,True,True,144393ea-cae8-4dda-8a8b-0ebf723e42a3,702695ff-1a21-41af-a1e7-b13887cf7331 86d0915d-07ba-47d1-bc02-2e60fbe2a07d ,
True,b2fa56fa-3b3c-402b-a5bb-bd886b8a56fe,Letter Task,7/1/2022 12:54:56 PM,0,0,SmileyFace,Custom,All,True,True,,
False,2628cb9f-be48-4c39-a9ed-fa4cb3d11775,Letter Task,7/1/2022 12:54:56 PM,0,0,SmileyFace,Custom,All,True,True,144393ea-cae8-4dda-8a8b-0ebf723e42a3,91cc36a7-239d-41f3-b8b3-ed5b6e2b0d4e b2fa56fa-3b3c-402b-a5bb-bd886b8a56fe ,
True,897e8edb-d9e0-4504-a913-290ca1e5152f,Letter Task,7/5/2022 11:12:31 AM,0,0,TEST,Custom,All,True,False,,
True,279848f9-8493-432c-8c69-055f1ad39570,Letter Task,7/5/2022 11:18:53 AM,0,0,Smile,Custom,All,True,False,,
False,c237f060-119b-42b1-85e3-be1be7b408d6,Letter Task,7/5/2022 11:33:10 AM,90,0,Tttest,Custom,All,True,True,
False,fd77dda0-7cfd-4005-a96d-19e135af2dac,Letter Task,7/5/2022 11:33:10 AM,90,0,Tttest,Custom,All,True,True,
False,737c6798-576d-4a45-99c2-4e4b695481b7,Letter Task,7/5/2022 11:33:10 AM,90,0,Tttest,Custom,All,True,True,144393ea-cae8-4dda-8a8b-0ebf723e42a3,c237f060-119b-42b1-85e3-be1be7b408d6 fd77dda0-7cfd-4005-a96d-19e135af2dac ,
